term_id,authorised_heading,search_term,search_term_display,search_normalized_heading,auth_Note,relationship,heading_type,lc_control_no,marc_tag,thesaurus
cash10000_151_1,Baffin Bay,Baffin Bay,Baffin Bay (authorised),baffin bay,,authorised,geographic,cash10000,151,
cash10000_751_1,Baffin Bay,"Baffin, Baie de","Baffin, Baie de (linked)","baffin, baie de",,linked,geographic,cash10000,751,RVM
cash10001_150_1,"Acadians--Expulsion, 1755","Acadians--Expulsion, 1755","Acadians--Expulsion, 1755 (authorised)","acadians--expulsion, 1755",,authorised,topical,cash10001,150,
cash10001_450_1,"Acadians--Expulsion, 1755","Expulsion of the Acadians, Canada, 1755","Expulsion of the Acadians, Canada, 1755 (see_from)","expulsion of the acadians, canada, 1755",,see_from,topical,cash10001,450,
cash10001_450_2,"Acadians--Expulsion, 1755","Deportation of the Acadians, Canada, 1755","Deportation of the Acadians, Canada, 1755 (see_from)","deportation of the acadians, canada, 1755",,see_from,topical,cash10001,450,
cash10001_450_3,"Acadians--Expulsion, 1755","Acadian Deportation, Canada, 1755","Acadian Deportation, Canada, 1755 (see_from)","acadian deportation, canada, 1755",,see_from,topical,cash10001,450,
cash10001_450_4,"Acadians--Expulsion, 1755","Acadians--Deportation, 1755","Acadians--Deportation, 1755 (see_from)","acadians--deportation, 1755",,see_from,topical,cash10001,450,
cash10001_450_5,"Acadians--Expulsion, 1755","Great Upheaval (Acadian expulsion), Canada, 1755","Great Upheaval (Acadian expulsion), Canada, 1755 (see_from)","great upheaval (acadian expulsion), canada, 1755",,see_from,topical,cash10001,450,
cash10001_450_6,"Acadians--Expulsion, 1755","Great Upheaval (Acadian deportation), Canada, 1755","Great Upheaval (Acadian deportation), Canada, 1755 (see_from)","great upheaval (acadian deportation), canada, 1755",,see_from,topical,cash10001,450,
cash10001_551_1,"Acadians--Expulsion, 1755",Nova Scotia--History--1713-1775,Nova Scotia--History--1713-1775 (see_also),nova scotia--history--1713-1775,,see_also,geographic,cash10001,551,
cash10001_551_2,"Acadians--Expulsion, 1755","Canada--History--Seven Years' War, 1755-1763","Canada--History--Seven Years' War, 1755-1763 (see_also)","canada--history--seven years' war, 1755-1763",,see_also,geographic,cash10001,551,
cash10001_750_1,"Acadians--Expulsion, 1755","Acadians--Nova Scotia--History--Expulsion, 1755","Acadians--Nova Scotia--History--Expulsion, 1755 (linked)","acadians--nova scotia--history--expulsion, 1755",,linked,topical,cash10001,750,LCSH
cash10001_750_2,"Acadians--Expulsion, 1755","Déportation des Acadiens, 1755","Déportation des Acadiens, 1755 (linked)","déportation des acadiens, 1755",,linked,topical,cash10001,750,RVM
cash10002_150_1,"Acadians--Expulsion, 1758","Acadians--Expulsion, 1758","Acadians--Expulsion, 1758 (authorised)","acadians--expulsion, 1758",,authorised,topical,cash10002,150,
cash10002_450_1,"Acadians--Expulsion, 1758","Expulsion of the Acadians, Canada, 1758","Expulsion of the Acadians, Canada, 1758 (see_from)","expulsion of the acadians, canada, 1758",,see_from,topical,cash10002,450,
cash10002_450_2,"Acadians--Expulsion, 1758","Deportation of the Acadians, Canada, 1758","Deportation of the Acadians, Canada, 1758 (see_from)","deportation of the acadians, canada, 1758",,see_from,topical,cash10002,450,
cash10002_450_3,"Acadians--Expulsion, 1758","Acadian Deportation, Canada, 1758","Acadian Deportation, Canada, 1758 (see_from)","acadian deportation, canada, 1758",,see_from,topical,cash10002,450,
cash10002_450_4,"Acadians--Expulsion, 1758","Acadians--Deportation, 1758","Acadians--Deportation, 1758 (see_from)","acadians--deportation, 1758",,see_from,topical,cash10002,450,
cash10002_450_5,"Acadians--Expulsion, 1758","Great Upheaval (Acadian expulsion), Canada, 1758","Great Upheaval (Acadian expulsion), Canada, 1758 (see_from)","great upheaval (acadian expulsion), canada, 1758",,see_from,topical,cash10002,450,
cash10002_450_6,"Acadians--Expulsion, 1758","Great Upheaval (Acadian deportation), Canada, 1758","Great Upheaval (Acadian deportation), Canada, 1758 (see_from)","great upheaval (acadian deportation), canada, 1758",,see_from,topical,cash10002,450,
cash10002_551_1,"Acadians--Expulsion, 1758",Nova Scotia--History--1713-1775,Nova Scotia--History--1713-1775 (see_also),nova scotia--history--1713-1775,,see_also,geographic,cash10002,551,
cash10002_551_2,"Acadians--Expulsion, 1758",Prince Edward Island--History--To 1873,Prince Edward Island--History--To 1873 (see_also),prince edward island--history--to 1873,,see_also,geographic,cash10002,551,
cash10002_551_3,"Acadians--Expulsion, 1758","Canada--History--Seven Years' War, 1755-1763","Canada--History--Seven Years' War, 1755-1763 (see_also)","canada--history--seven years' war, 1755-1763",,see_also,geographic,cash10002,551,
cash10002_750_1,"Acadians--Expulsion, 1758","Déportation des Acadiens, 1758","Déportation des Acadiens, 1758 (linked)","déportation des acadiens, 1758",,linked,topical,cash10002,750,RVM
cash10003_150_1,Alaska Boundary Dispute,Alaska Boundary Dispute,Alaska Boundary Dispute (authorised),alaska boundary dispute,"Here are entered works about the dispute in the late nineteenth century among Canada, Great Britain and the United States concerning the location of the international boundary between the Alaska Panhandle and Canada.  The dispute was settled in 1903.Additional entries are made under Alaska--Boundaries--Canada and Canada--Boundaries--Alaska.",authorised,topical,cash10003,150,
cash10003_551_1,Alaska Boundary Dispute,Alaska--Boundaries--Canada,Alaska--Boundaries--Canada (see_also),alaska--boundaries--canada,,see_also,geographic,cash10003,551,
cash10003_551_2,Alaska Boundary Dispute,Canada--Boundaries--Alaska,Canada--Boundaries--Alaska (see_also),canada--boundaries--alaska,,see_also,geographic,cash10003,551,
cash10003_750_1,Alaska Boundary Dispute,Controverse de la frontière de l'Alaska,Controverse de la frontière de l'Alaska (linked),controverse de la frontière de l'alaska,,linked,topical,cash10003,750,RVM
cash10004_150_1,"Authors, Canadian (English)--20th century--Interviews","Authors, Canadian (English)--20th century--Interviews","Authors, Canadian (English)--20th century--Interviews (authorised)","authors, canadian (english)--20th century--interviews",,authorised,topical,cash10004,150,
cash10004_750_1,"Authors, Canadian (English)--20th century--Interviews",Écrivains canadiens-anglais--20e siècle--Entretiens,Écrivains canadiens-anglais--20e siècle--Entretiens (linked),écrivains canadiens-anglais--20e siècle--entretiens,,linked,topical,cash10004,750,RVM
cash10005_150_1,"Authors, Canadian (French)","Authors, Canadian (French)","Authors, Canadian (French) (authorised)","authors, canadian (french)","May be subdivided geographically for works discussing collectively authors from one particular area.Here are entered works on Canadian literary authors writing in French as a class of persons.Works limited to authors writing in a particular literary form are entered under headings for the class of authors qualified by language if appropriate, e.g. Novelists, Canadian (English); Poets, Canadian (French).",authorised,topical,cash10005,150,
cash10005_450_1,"Authors, Canadian (French)",French-Canadian authors,French-Canadian authors (see_from),french-canadian authors,,see_from,,cash10005,450,
cash10005_550_1,"Authors, Canadian (French)","Authors, Canadian","Authors, Canadian (see_also)","authors, canadian",,see_also,topical,cash10005,550,
cash10005_750_1,"Authors, Canadian (French)","Authors, French-Canadian","Authors, French-Canadian (linked)","authors, french-canadian",,linked,topical,cash10005,750,LCSH
cash10005_750_2,"Authors, Canadian (French)",Écrivains canadiens-français,Écrivains canadiens-français (linked),écrivains canadiens-français,,linked,topical,cash10005,750,RVM
cash10008_150_2,Bathtub racing--Canada,Bathtub racing--Canada,Bathtub racing--Canada (authorised),bathtub racing--canada,,authorised,topical,cash10008,150,
cash10008_450_2,Bathtub racing--Canada,Bathtubbing--Canada,Bathtubbing--Canada (see_from),bathtubbing--canada,,see_from,,cash10008,450,
cash10008_450_3,Bathtub racing--Canada,Tub racing--Canada,Tub racing--Canada (see_from),tub racing--canada,,see_from,,cash10008,450,
cash10008_451_1,Bathtub racing--Canada,Canada--Bathtub racing,Canada--Bathtub racing (see_from),canada--bathtub racing,,see_from,geographic,cash10008,451,
cash10008_550_2,Bathtub racing--Canada,Sports--Canada,Sports--Canada (see_also),sports--canada,,see_also,topical,cash10008,550,
cash10008_750_3,Bathtub racing--Canada,Courses de baignoires--Canada,Courses de baignoires--Canada (linked),courses de baignoires--canada,,linked,topical,cash10008,750,RVM
cash10009_151_1,"Battleford (Sask.)--History--Destruction, 1885","Battleford (Sask.)--History--Destruction, 1885","Battleford (Sask.)--History--Destruction, 1885 (authorised)","battleford (sask.)--history--destruction, 1885",,authorised,geographic,cash10009,151,
cash10009_451_1,"Battleford (Sask.)--History--Destruction, 1885","Battleford (Sask.)--Destruction, 1885","Battleford (Sask.)--Destruction, 1885 (see_from)","battleford (sask.)--destruction, 1885",,see_from,geographic,cash10009,451,
cash10009_451_2,"Battleford (Sask.)--History--Destruction, 1885","Fort Battle River (Sask.)--Destruction, 1885","Fort Battle River (Sask.)--Destruction, 1885 (see_from)","fort battle river (sask.)--destruction, 1885",,see_from,geographic,cash10009,451,
cash10009_550_1,"Battleford (Sask.)--History--Destruction, 1885","Riel Rebellion, 1885--Campaigns","Riel Rebellion, 1885--Campaigns (see_also)","riel rebellion, 1885--campaigns",,see_also,topical,cash10009,550,
cash10009_751_1,"Battleford (Sask.)--History--Destruction, 1885",Battleford (Sask.)--Histoire--1885 (Destruction),Battleford (Sask.)--Histoire--1885 (Destruction) (linked),battleford (sask.)--histoire--1885 (destruction),,linked,geographic,cash10009,751,RVM
cash10010_150_1,"Beauharnois Scandal, 1931","Beauharnois Scandal, 1931","Beauharnois Scandal, 1931 (authorised)","beauharnois scandal, 1931",,authorised,topical,cash10010,150,
cash10010_550_1,"Beauharnois Scandal, 1931",Political corruption--Canada,Political corruption--Canada (see_also),political corruption--canada,,see_also,topical,cash10010,550,
cash10010_551_1,"Beauharnois Scandal, 1931",Canada--Politics and government--1930-1935,Canada--Politics and government--1930-1935 (see_also),canada--politics and government--1930-1935,,see_also,geographic,cash10010,551,
cash10010_750_1,"Beauharnois Scandal, 1931","Scandale de la Beauharnois, 1931","Scandale de la Beauharnois, 1931 (linked)","scandale de la beauharnois, 1931",,linked,topical,cash10010,750,RVM
cash10011_150_2,Beaver (Emblem),Beaver (Emblem),Beaver (Emblem) (authorised),beaver (emblem),,authorised,topical,cash10011,150,
cash10011_551_2,Beaver (Emblem),Canada--Symbolic representation,Canada--Symbolic representation (see_also),canada--symbolic representation,,see_also,geographic,cash10011,551,
cash10011_550_2,Beaver (Emblem),"Emblems, National--Canada","Emblems, National--Canada (see_also)","emblems, national--canada",,see_also,topical,cash10011,550,
cash10011_750_2,Beaver (Emblem),Castor (Emblème),Castor (Emblème) (linked),castor (emblème),,linked,topical,cash10011,750,RVM
